module_name,label,alt_label,unit
initial_params,ln_finit,,
initial_params,ln_flimit,ln_fishing_mortality_limit,
initial_params,ln_ftarget,ln_fishing_mortality_target,
initial_params,ln_m1,,
initial_params,ln_m1_dev,,
initial_params,ln_pop_scalar,,
initial_params,ln_sel_slp,,
initial_params,ln_sel_slp_dev,,
initial_params,log_gam_a,,
initial_params,log_gam_b,,
initial_params,log_phi,,
initial_params,m1_beta,,
initial_params,m1_dev_ln_sd,,
initial_params,m1_rho,,
initial_params,proj_f_prop,,
initial_params,r0,,
initial_params,r_ln_sd,,
initial_params,rec_dev,recruitment_deviations,
initial_params,sel_coff,,
initial_params,sel_coff_dev,,
initial_params,sel_curve_pen,,
initial_params,sel_curve_pen,,
initial_params,sel_dev_ln_sd,,
initial_params,sel_inf,,
initial_params,sel_inf_dev,,
map,1,,
map,2,,
map,3,,
map,alpha,,
map,beta,,
map,beta_rec_pars,,
map,catch_ln_sd,ln_catch_sd,
map,comp_weights,composition_weights,kg
map,diet_comp_weights,diet_composition_weights,kg
map,dummy,,
map,index_ln_q,,
map,index_ln_sd,,
map,index_q_beta,,
map,index_q_dev,,
map,index_q_dev_ln_sd,,
map,index_q_ln_sd,,
map,index_q_rho,,
map,init_dev,,
map,ln_f,ln_fishing_mortality,
map,ln_finit,ln_fishing_mortality_initial,
map,ln_flimit,ln_fishing_mortality_limit,
map,ln_ftarget,ln_fishing_mortality_target,
map,ln_m1,,
map,ln_m1_dev,,
map,ln_pop_scalar,,
map,ln_sel_slp,,
map,ln_sel_slp_dev,,
map,log_gam_a,,
map,log_gam_b,,
map,log_phi,,
map,m1_beta,,
map,m1_dev_ln_sd,,
map,m1_rho,,
map,proj_f_prop,,
map,r0,,
map,r_ln_sd,,
map,rec_dev,recruitment_deviations,
map,sel_coff,,
map,sel_coff_dev,,
map,sel_curve_pen,,
map,sel_curve_pen,,
map,sel_dev_ln_sd,,
map,sel_inf,,
map,sel_inf_dev,,
phase_params,alpha,,
phase_params,beta,,
phase_params,beta_rec_pars,,
phase_params,catch_ln_sd,ln_catch_sd,
phase_params,comp_weights,composition_weights,kg
phase_params,diet_comp_weights,diet_composition_weights,kg
phase_params,dummy,,
phase_params,index_ln_q,,
phase_params,index_ln_sd,,
phase_params,index_q_beta,,
phase_params,index_q_dev,,
phase_params,index_q_dev_ln_sd,,
phase_params,index_q_ln_sd,,
phase_params,index_q_rho,,
phase_params,init_dev,,
phase_params,ln_f,ln_fishing_mortality,
phase_params,ln_finit,ln_fishing_mortality_initial,
phase_params,ln_flimit,ln_fishing_mortality_limit,
phase_params,ln_ftarget,ln_fishing_mortality_target,
phase_params,ln_m1,,
phase_params,ln_m1_dev,,
phase_params,ln_pop_scalar,,
phase_params,ln_sel_slp,,
phase_params,ln_sel_slp_dev,,
phase_params,log_gam_a,,
phase_params,log_gam_b,,
phase_params,log_phi,,
phase_params,m1_beta,,
phase_params,m1_dev_ln_sd,,
phase_params,m1_rho,,
phase_params,proj_f_prop,,
phase_params,r0,,
phase_params,r_ln_sd,,
phase_params,rec_dev,recruitment_deviations,
phase_params,sel_coff,,
phase_params,sel_coff_dev,,
phase_params,sel_curve_pen,,
phase_params,sel_curve_pen,,
phase_params,sel_dev_ln_sd,,
phase_params,sel_inf,,
phase_params,sel_inf_dev,,
quantities,age_hat,catch,kg
quantities,age_obs_hat,catch_adjusted,kg
quantities,avail_food,,kg
quantities,avg_r,recruitment_mean,
quantities,avgn_at_age,abundance_average,numbers
quantities,b0,,kg
quantities,b_eaten,,kg
quantities,b_eaten_as_prey,,kg
quantities,biomass,,kg
quantities,biomass_at_age,biomass,kg
quantities,biomass_depletion,biomass_biomass_unfished,kg
quantities,catch_hat,landings,kg
quantities,comp_hat,,
quantities,comp_n,,
quantities,comp_obs,,kg
quantities,consumption_at_age,,kg
quantities,diet_hat,,
quantities,diet_obs,,kg
quantities,dynamicb0,,kg
quantities,dynamicsb0,,kg
quantities,dynamicsbf,,kg
quantities,exploitable_biomass,,kg
quantities,f_at_age,fishing_mortality,
quantities,f_flt,fishing_mortality,
quantities,f_flt_age,fishing_mortality,
quantities,f_spp,fishing_mortality,
quantities,flimit,fishing_mortality_target,
quantities,flt_sel_maxage,,
quantities,ft,,
quantities,ftarget,fishing_mortality_limit,
quantities,gam_a,,
quantities,gam_b,,
quantities,index_hat,,
quantities,index_q,,
quantities,jnll,,
quantities,jnll_comp,,
quantities,ln_catch_sd,,
quantities,ln_index_sd,,
quantities,log_index_hat,,
quantities,log_ssb,log_spawning_biomass,kg
quantities,m1_at_age,m1,
quantities,m2_at_age,m2,
quantities,m2_prop,proportion_m2,
quantities,m_at_age,natural_mortality,
quantities,max_catch_hat,,kg
quantities,n_at_age,abundance,numbers
quantities,nbyage0,abundance_rec_hat_f0,numbers
quantities,nbyagef,abundance_rec_hat_f_target,
quantities,nbyagespr,abundance_spr,numbers
quantities,pop_scalar,,
quantities,proj_f,fishing_mortality,
quantities,r,recruitment,
quantities,r0,,
quantities,r_hat,,
quantities,r_init,recruitment_initial,
quantities,r_sd,recruitment_sd,
quantities,ration,,
quantities,sb0,spawning_biomass_0,kg
quantities,sbf,spawning_biomass_target,kg
quantities,sel,selectivity,
quantities,spr0,,
quantities,sprfinit,spr_initial,
quantities,sprlimit,spr_limit,
quantities,sprtarget,spr_target,
quantities,ssb,spawning_biomass,kg
quantities,ssb_depletion,spawning_biomass_depletion,kg
quantities,steepness,,
quantities,stom_div_bio,,
quantities,suit_other,,
quantities,suitability,,
quantities,true_age_comp_hat,,
quantities,unweighted_jnll_comp,,
quantities,vulnerability,,
quantities,vulnerability_other,,
quantities,z_at_age,total_mortality,
sdrep,biomass,,kg
sdrep,index_ln_q,,
sdrep,init_dev,,
sdrep,ln_f,,
sdrep,ln_sel_slp,,
sdrep,ln_sel_slp_dev,,
sdrep,log_index_hat,,
sdrep,log_ssb,log_spawning_biomass,kg
sdrep,pop_scalar,,kg
sdrep,r,recruitment,
sdrep,r_sd,recruitment_sd,
sdrep,rec_dev,recruitment_deviations,
sdrep,rec_pars,recruitment_parameters,
sdrep,sel_inf,,
sdrep,sel_inf_dev,,
sdrep,ssb,spawning_biomass,kg
