module_name,label,alt_label,unit
DERIVED_QUANTITIES,SSB_Virgin,spawning_biomass_unfished,kg
DERIVED_QUANTITIES,SSB_Initial,spawning_biomass_initial,kg
DERIVED_QUANTITIES,SSB,spawning_biomass,kg
DERIVED_QUANTITIES,Recr_Virgin,spawning_biomass,kg
DERIVED_QUANTITIES,Recr_Initial,recruitment_initial,kg
DERIVED_QUANTITIES,Recr,recruitment,kg
DERIVED_QUANTITIES,SPRratio,spawning_potential_ratio_ratio,
AGE_SELEX,F,fishing_mortality,
DERIVED_QUANTITIES,F,fishing_mortality,
F_AT_AGE,F,fishing_mortality,
DERIVED_QUANTITIES,Bratio,biomass_ratio,
DERIVED_QUANTITIES,SSB_unfished,spawning_biomass_unfished,kg
DERIVED_QUANTITIES,Totbio_unfished,biomass_unfished,kg
DERIVED_QUANTITIES,SmryBio_unfished,biomass_unfished_midyear,kg
DERIVED_QUANTITIES,Recr_unfished,recruitment_unfished,kg
DERIVED_QUANTITIES,SSB_Btgt,spawning_biomass_at_biomass_target,kg
DERIVED_QUANTITIES,SPR_Btgt,spawning_potential_ratio_biomass_target,
DERIVED_QUANTITIES,annF_Btgt,annual_F_biomass_target,kg
DERIVED_QUANTITIES,Dead_Catch_Btgt,dead_catch_biomass_target,kg
DERIVED_QUANTITIES,SSB_SPR,spawning_biomass_spawning_potential_ratio,
DERIVED_QUANTITIES,annF_SPR,fishing_mortality_spawning_potential_ratio,
DERIVED_QUANTITIES,Dead_Catch_SPR,dead_catch_spawning_potential_ratio,
DERIVED_QUANTITIES,SSB_MSY,spawning_biomass_msy,kg
DERIVED_QUANTITIES,SPR_MSY,spawning_potential_ratio_msy,
DERIVED_QUANTITIES,annF_MSY,f_msy,
DERIVED_QUANTITIES,Dead_Catch_MSY,dead_catch_msy,kg
DERIVED_QUANTITIES,Ret_Catch_MSY,catch_msy,kg
DERIVED_QUANTITIES,B_MSY/SSB_unfished,biomass_msy_spawning_biomass_unfished,
DERIVED_QUANTITIES,ForeCatch,catch,kg
DERIVED_QUANTITIES,OFLCatch,catch_ofl,kg
DERIVED_QUANTITIES,ForeCatchret,catch_retained,kg
DERIVED_QUANTITIES,ln(SPB),ln_spb,kg
MGparm_By_Year_after_adjustments,change?,,kg
MGparm_By_Year_after_adjustments,natm_uniform,,kg
MGparm_By_Year_after_adjustments,l_at_amin,length_at_age_min,cm
MGparm_By_Year_after_adjustments,l_at_amax,length_at_age_max,cm
MGparm_By_Year_after_adjustments,vonbert_k,k,kg
MGparm_By_Year_after_adjustments,cv_young,,kg
MGparm_By_Year_after_adjustments,cv_old,,kg
MGparm_By_Year_after_adjustments,wtlen,,kg
MGparm_By_Year_after_adjustments,mat50%,,kg
MGparm_By_Year_after_adjustments,mat_slope,,kg
MGparm_By_Year_after_adjustments,eggs/kg_inter,,kg
MGparm_By_Year_after_adjustments,eggs/kg_slope_wt,,kg
MGparm_By_Year_after_adjustments,cohortgrowdev,,kg
MGparm_By_Year_after_adjustments,fracfemale,proportion_female,
OVERALL_COMPS,freq,,kg
OVERALL_COMPS,cum,,kg
OVERALL_COMPS,female,,kg
OVERALL_COMPS,male,,kg
BIOMASS_AT_AGE,biomass,,kg
CATCH,obs,landings_observed_weight,kg
INDEX_2,obs,index_observed,
CATCH,exp,landings_predicted_weight,kg
INDEX_2,exp,index_predicted,
CATCH,mult,,kg
CATCH,exp*mult,,kg
CATCH,f,,kg
CATCH,like,,kg
INDEX_2,like,,
CATCH,sel_bio,,kg
CATCH,kill_bio,,kg
CATCH,ret_bio,catch_weight,kg
CATCH,sel_num,,kg
CATCH,kill_num,,kg
CATCH,ret_num,catch_numbers,kg
CATCH,discard,discards_weight,kg
CATCH_AT_AGE,catch,catch_weight,kg
MEAN_SIZE_TIMESERIES,mean_size,,kg
NUMBERS_AT_AGE,numbers,abundance,kg
NUMBERS_AT_LENGTH,numbers,abundance,kg
SPAWN_RECRUIT,spawnbio,spawning_biomass,kg
TIME_SERIES,spawnbio,spawning_biomass,kg
SPAWN_RECRUIT,exp_recr,expected_recruitment,kg
SPAWN_RECRUIT,with_regime,,kg
SPAWN_RECRUIT,bias_adjusted,,kg
SPAWN_RECRUIT,pred_recr,predicted_recruitment,kg
INDEX_2,dev,,
SPAWN_RECRUIT,dev,recruitment_deviations,kg
SPAWN_RECRUIT,biasadjuster,,kg
SPAWN_RECRUIT,mature_bio,mature_biomass,kg
